ID,Date,AveragePrice,Total Volume,Mango_4046,Mango_4225,Mango_4770,Small Bags,Large Bags,Total Bags
0,2015-01-04,1.49,13227219.52,13418983.33,4580388.95,805821.75,820162.83,19352383.98,20172546.81
1,2015-01-04,3.11,10762825.24,20157351.39,7514673.05,3181790.9,2538915.58,13380759.58,15919675.16
2,2015-01-04,2.5,4202248.21,16648787.37,18312735.55,4041973.63,17842.51,6715614.11,6733456.62
3,2015-01-04,2.12,41961932.06,3933719.09,9824602.92,14913090.04,1197267.09,18700650.65,19897917.74
4,2015-01-04,0.88,28965383.7,11825411.59,5804958.87,12106739.17,2132507.47,670139.65,2802647.12
5,2015-01-04,0.88,51945546.9,1359485.83,21212778.31,14241656.28,734420.38,3309705.41,4044125.79
6,2015-01-04,0.6,6181312.09,5054501.4,14495754.22,7164616.72,2537855.05,9657760.7,12195615.75
7,2015-01-04,2.87,9046697.89,3525394.44,18324866.12,2191736.44,1237845.34,5659257.08,6897102.42
8,2015-01-04,2.13,19155397.28,6868809.29,557261.47,15600993.38,2327439.28,13947340.57,16274779.85
9,2015-01-04,2.43,47870968.46,13895710.64,7717741.0,2720120.55,1345358.78,664010.64,2009369.42
10,2015-01-04,0.5,19111711.63,10222867.15,10436975.01,7413745.29,1012573.36,5308029.44,6320602.800000001
11,2015-01-04,3.17,25528525.39,19097186.74,13360090.36,5081151.62,1808224.92,16575233.59,18383458.51
12,2015-01-04,2.78,18851984.96,4355090.57,4320647.67,5744809.57,2440181.3,7788548.92,10228730.22
13,2015-01-04,1.04,5014549.0,7455569.77,11325264.47,11659849.98,957697.48,3932791.72,4890489.2
14,2015-01-04,0.95,58719911.08,6752271.12,15593600.2,3184016.33,2202521.16,10047738.73,12250259.89
15,2015-01-04,0.96,34286822.52,4830310.54,7866472.28,8637974.79,1679657.02,7097126.76,8776783.78
16,2015-01-05,1.29,49244040.72,20330774.34,15725896.07,12373396.02,964092.39,5472601.59,6436693.98
17,2015-01-05,1.91,41151064.58,7926728.64,8862141.93,16833572.12,141290.81,16438745.11,16580035.92
18,2015-01-05,1.65,32143837.26,19252757.38,10677295.43,7191840.62,792969.28,16495223.72,17288193.0
19,2015-01-05,1.26,5605474.39,7993215.6,3054306.18,6174058.7,2116822.02,8106628.91,10223450.93
20,2015-01-05,2.16,40174506.0,4177873.53,14812338.75,7126353.72,242296.52,11699721.59,11942018.11
21,2015-01-05,0.83,9711595.97,2440221.85,5100840.16,9702008.94,1457013.54,13924268.5,15381282.04
22,2015-01-05,1.26,25901337.43,17513868.47,18851049.2,6065623.64,1303369.73,13637685.17,14941054.9
23,2015-01-05,1.47,39323155.13,657057.08,12587303.6,4852041.51,1684833.5,6446011.45,8130844.95
24,2015-01-05,1.72,48893747.82,19741709.45,12742264.47,7270797.23,2391110.95,12809136.76,15200247.71
25,2015-01-05,2.65,42819218.24,8560613.57,20753015.79,15068990.86,1914316.83,17789598.53,19703915.36
26,2015-01-05,1.0,41974665.17,5063894.62,3807343.01,4897814.84,1300264.93,1073574.61,2373839.54
27,2015-01-05,1.88,9316051.6,12639475.88,12059453.99,16363123.37,2114450.35,1414696.43,3529146.7800000003
28,2015-01-05,2.1,21635043.47,2720805.05,8692724.06,5523407.34,1786756.4,16515880.7,18302637.1
29,2015-01-05,0.57,2682340.28,1476861.2,21977703.86,11683489.76,2280456.12,11671057.84,13951513.96
30,2015-01-05,2.15,44971392.09,16945199.21,18029184.01,18810853.99,1844509.04,527199.49,2371708.5300000003
31,2015-01-05,0.92,59542006.64,8693253.93,17228308.91,18439210.96,1917515.39,14839966.27,16757481.66
32,2015-01-06,0.62,16508452.92,10608974.81,4642457.78,8420203.48,213901.26,2060221.87,2274123.13
33,2015-01-06,3.11,5481616.65,3617068.48,5397588.81,1307992.07,9729.74,16265331.96,16275061.7
34,2015-01-06,3.15,29725859.46,1257389.46,663677.54,17486747.37,2433427.06,9356929.56,11790356.62
35,2015-01-06,2.71,53548488.43,7528588.03,14522603.18,2458760.37,641774.93,5645434.22,6287209.149999999
36,2015-01-06,1.3,34501541.82,10361103.61,8434137.59,17892043.39,420414.66,11964793.03,12385207.69
37,2015-01-06,0.71,2923916.62,15668803.12,7096933.78,14193351.18,404165.67,3368690.09,3772855.76
38,2015-01-06,2.36,60897518.46,10256821.35,14488393.68,18099140.02,1878994.61,10419183.28,12298177.89
39,2015-01-06,1.68,51795312.85,16018366.72,18847353.05,12890724.98,118151.09,9492700.37,9610851.46
40,2015-01-06,0.78,8225446.3,2362975.1,3025572.93,19278451.59,1683256.52,4654111.33,6337367.85
41,2015-01-06,1.83,57617571.34,1309354.57,20893683.5,9047286.32,1455185.68,12936531.22,14391716.9
42,2015-01-06,0.54,28170609.31,3251974.9,779451.68,6385801.76,375094.98,6787474.47,7162569.449999999
43,2015-01-06,3.0,23245777.45,15803530.3,2163062.1,7619685.39,344907.95,16476881.36,16821789.31
44,2015-01-06,1.17,28818482.08,15543924.63,19062064.7,6786194.55,337811.23,1617719.65,1955530.88
45,2015-01-06,2.3,52165473.72,2893879.91,11205866.72,7764699.66,660847.74,14920187.03,15581034.77
46,2015-01-06,1.32,41221232.45,634355.58,21362051.89,17149139.34,1634277.56,8481124.76,10115402.32
47,2015-01-07,1.9,3703442.37,14028113.63,10499658.56,11470079.93,526826.57,6042139.65,6568966.220000001
48,2015-01-07,1.98,59855683.91,17508107.85,21063385.72,14059043.33,1680840.82,18189051.26,19869892.08
49,2015-01-07,0.96,9237414.87,15437016.34,5450044.23,5577007.34,2474384.88,3874682.55,6349067.43
50,2015-01-07,3.16,46602228.36,4151411.26,14020293.61,19176897.75,2195277.26,8197537.54,10392814.8
51,2015-01-07,2.62,39762155.88,11950063.13,22617798.55,5438711.88,2032257.42,8991020.87,11023278.29
52,2015-01-07,3.08,11721630.58,15503709.98,8553028.16,3080815.51,2416916.6,5764765.34,8181681.939999999
53,2015-01-07,2.95,10671788.92,5236960.07,33084.79,15076068.27,1559622.2,1724263.33,3283885.5300000003
54,2015-01-07,2.12,54400399.89,10802746.98,1456778.78,16255519.21,1957864.48,17535843.07,19493707.55
55,2015-01-07,3.03,26233351.61,6437184.53,19538121.89,7629048.61,1970758.1,17318956.44,19289714.540000003
56,2015-01-07,0.69,40914757.42,4617657.96,11187258.09,10482256.34,2481606.82,12183571.69,14665178.51
57,2015-01-07,0.99,31507325.92,19848048.72,12206912.7,8022957.07,1647995.58,6284176.51,7932172.09
58,2015-01-07,0.57,45463724.89,18681075.28,18181840.48,5694189.55,695321.43,12165994.83,12861316.26
59,2015-01-07,1.35,29955398.53,9123073.65,18458241.47,15757662.53,498271.75,18683736.38,19182008.13
60,2015-01-07,1.53,17962927.66,2799925.23,10858286.98,14666186.42,780978.48,17114203.25,17895181.73
61,2015-01-07,1.2,22713566.37,14900679.31,19515404.96,9402336.76,1939757.86,3207674.23,5147432.09
62,2015-01-07,2.77,53697218.62,5234348.55,10653677.46,8825449.23,1671873.57,15812295.18,17484168.75
63,2015-01-08,1.44,29254856.06,3449655.98,15352427.05,3490335.47,558316.61,15455156.17,16013472.78
64,2015-01-08,1.23,13341855.02,7810117.46,758768.68,12345982.43,2189508.8,17770094.36,19959603.16
65,2015-01-08,1.96,58418119.55,10846328.99,3138605.09,17894533.01,2498908.49,920627.54,3419536.0300000003
66,2015-01-08,0.84,49792043.75,1994659.35,19364370.53,13926259.32,1928190.11,14849356.58,16777546.69
67,2015-01-08,2.69,3479528.3,11703977.69,7121445.21,9808046.31,158146.27,10579836.0,10737982.27
68,2015-01-08,0.65,62439575.76,314190.02,7613287.7,748936.49,1598001.57,10428148.12,12026149.69
69,2015-01-08,3.21,43436868.24,18257070.36,15078817.31,18022494.55,2387774.99,6767405.81,9155180.8
70,2015-01-08,2.61,10017638.4,18848109.61,13476460.27,5967784.35,796943.26,15222513.19,16019456.45
71,2015-01-08,1.0,14824383.76,15006378.5,1869266.9,5811020.49,1490764.38,8207848.17,9698612.55
72,2015-01-08,0.46,43281778.49,9550533.54,17416266.02,9097547.45,578003.01,6933931.38,7511934.39
73,2015-01-08,2.73,48739487.51,5217872.61,14037870.03,8314289.1,2242614.16,18604801.05,20847415.21
74,2015-01-08,2.43,14941160.52,15232400.58,19453339.36,18643726.12,2215353.08,8967483.99,11182837.07
75,2015-01-08,2.49,16062067.18,19074422.28,12179136.18,3196711.59,928063.2,15353688.65,16281751.85
76,2015-01-08,2.61,19196836.18,3245275.72,9423245.04,13350456.1,890475.69,2696193.65,3586669.34
77,2015-01-08,0.65,37379558.52,9535642.86,8445624.84,2068337.8,256.98,14337149.98,14337406.96
78,2015-01-09,1.45,10739551.34,6453586.21,100502.36,5364373.99,808360.34,12999970.85,13808331.19
79,2015-01-09,0.77,6515864.29,7302708.7,904837.09,13990060.59,1989838.71,9897831.38,11887670.09
